y_true,y_pred
247.85716772555395,249.42019249934953
560.8142052520777,561.6246966275459
155.05111918082872,155.52580748675783
400.52903383116825,397.95086708428084
115.96603539434739,117.76688052981066
638.8992510046021,641.4562156383395
143.91542436368982,143.27993695730063
394.12633236050374,392.7600712334547
398.8816507458312,395.77014857438934
444.6301432569095,445.6626488801328
343.20249235724515,341.91398701088445
107.61688744268918,108.26240054536792
403.5920943875189,403.14460265828075
-4.726115411060361,-5.539850402156205
154.50540967702986,154.24684707156598
115.62050419085016,115.83971399052356
347.78501190292997,345.18440612541104
132.63080315017865,134.13440039997002
-47.9446644263832,-48.659208995409955
512.4937519488234,511.44566751716724
276.7929217258819,277.784447639649
458.0765565295025,457.21721823274083
397.94592759780465,396.5577176913793
341.4197477040506,341.59729385668174
446.3992479253174,447.2289495507261
626.6125689966193,628.8890456255282
165.18335846817297,162.67791701296377
348.6931246897098,348.75866080067715
450.7582023473917,452.643428519756
399.3894236344191,399.14705003564023
445.8253329456732,445.8145621038457
724.9911419106356,724.9627606934587
263.24128799490063,262.11638621783703
425.42214966117706,423.46125901353366
250.73495425238636,249.20552351840166
180.50475973135966,179.71561473439272
549.2387087240671,550.6364241812502
293.37780953134205,294.8318336176818
116.89459659732569,117.27003049134188
362.29295312325394,363.053263502554
